"alc","repetitions","longpauses"
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,1
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",1,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",1,0
"a",1,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",1,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,1
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",1,0
"a",1,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,1
"a",0,1
"a",0,1
"a",0,0
"a",1,1
"a",0,1
"a",0,0
"a",0,1
"a",1,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",1,1
"a",0,0
"a",1,1
"a",0,0
"a",1,0
"a",1,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",1,1
"a",0,1
"a",1,1
"a",0,1
"a",0,1
"a",1,1
"a",0,0
"a",0,1
"a",1,0
"a",1,1
"a",0,0
"a",1,1
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",1,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",1,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",1,1
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",1,1
"a",1,1
"a",0,0
"a",1,1
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",1,0
"a",0,1
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",1,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",1,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,1
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,1
"a",0,1
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,1
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",1,0
"a",0,1
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,1
"a",0,1
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,1
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,1
"a",0,0
"a",0,1
"a",0,0
"a",1,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,1
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",1,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",1,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",1,0
"a",0,0
"a",0,1
"a",0,1
"a",0,0
"a",0,1
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,1
"a",0,0
"a",1,1
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",1,1
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,1
"a",0,1
"a",0,1
"a",1,1
"a",0,0
"a",0,0
"a",1,0
"a",1,1
"a",0,0
"a",0,1
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",1,1
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",1,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",1,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,1
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",1,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,1
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,1
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",1,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",1,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",1,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,1
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,1
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,1
"a",1,1
"a",0,1
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",1,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,1
"a",1,0
"a",0,1
"a",1,0
"a",1,0
"a",1,0
"a",1,1
"a",0,0
"a",1,0
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,1
"a",0,0
"a",0,1
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",0,0
"a",1,0
"a",0,0
"a",0,0
